"","tpv","tpr","fpr","tnr","fnr","ppv","fdr","npv","fors","L.diag","L.pred","L.all","L.eq.diag","model"
"19",0.04,0.982558139534884,0.274949083503055,0.725050916496945,0.0174418604651163,0.555921052631579,0.444078947368421,0.991643454038997,0.00835654596100279,0.146195471984086,0.226217746664712,0.186206609324399,0.257507223037939,"allRun"
"20",0.041,0.982558139534884,0.268839103869654,0.731160896130346,0.0174418604651163,0.561461794019934,0.438538205980066,0.99171270718232,0.00828729281767956,0.143140482167385,0.223412749398873,0.183276615783129,0.251397243404538,"allRun"
"21",0.042,0.982558139534884,0.260692464358452,0.739307535641548,0.0174418604651163,0.569023569023569,0.430976430976431,0.991803278688525,0.00819672131147541,0.139067162411784,0.219586576143953,0.179326869277869,0.243250603893336,"allRun"
"22",0.043,0.982558139534884,0.254582484725051,0.745417515274949,0.0174418604651163,0.574829931972789,0.425170068027211,0.991869918699187,0.00813008130081301,0.136012172595084,0.216650074664012,0.176331123629548,0.237140624259935,"allRun"
"23",0.044,0.982558139534884,0.25050916496945,0.74949083503055,0.0174418604651163,0.578767123287671,0.421232876712329,0.991913746630728,0.00808625336927224,0.133975512717283,0.2146595650408,0.174317538879042,0.233067304504334,"allRun"
"24",0.045,0.982558139534884,0.246435845213849,0.753564154786151,0.0174418604651163,0.582758620689655,0.417241379310345,0.991957104557641,0.00804289544235925,0.131938852839483,0.212642137376352,0.172290495107917,0.228993984748733,"allRun"
"25",0.046,0.982558139534884,0.242362525458248,0.757637474541752,0.0174418604651163,0.586805555555556,0.413194444444444,0.992,0.008,0.129902192961682,0.210597222222222,0.170249707591952,0.224920664993132,"allRun"
"26",0.047,0.982558139534884,0.238289205702648,0.761710794297352,0.0174418604651163,0.590909090909091,0.409090909090909,0.992042440318302,0.00795755968169761,0.127865533083882,0.208524234386303,0.168194883735093,0.220847345237531,"allRun"
"27",0.048,0.982558139534884,0.232179226069246,0.767820773930754,0.0174418604651163,0.597173144876325,0.402826855123675,0.992105263157895,0.00789473684210526,0.124810543267181,0.20536079598289,0.165085669625036,0.21473736560413,"allRun"
"28",0.05,0.982558139534884,0.228105906313646,0.771894093686354,0.0174418604651163,0.601423487544484,0.398576512455516,0.992146596858639,0.00785340314136126,0.122773883389381,0.203214957798439,0.16299442059391,0.210664045848529,"allRun"
"29",0.051,0.976744186046512,0.228105906313646,0.771894093686354,0.0232558139534884,0.6,0.4,0.989556135770235,0.010443864229765,0.125680860133567,0.205221932114883,0.165451396124225,0.204850092360157,"allRun"
"30",0.052,0.976744186046512,0.224032586558045,0.775967413441955,0.0232558139534884,0.60431654676259,0.39568345323741,0.98961038961039,0.0103896103896104,0.123644200255767,0.20303653181351,0.163340366034638,0.200776772604556,"allRun"
"31",0.053,0.976744186046512,0.221995926680244,0.778004073319756,0.0232558139534884,0.606498194945848,0.393501805054152,0.989637305699482,0.0103626943005181,0.122625870316866,0.201932249677335,0.162279059997101,0.198740112726756,"allRun"
"32",0.054,0.976744186046512,0.219959266802444,0.780040733197556,0.0232558139534884,0.608695652173913,0.391304347826087,0.989664082687339,0.0103359173126615,0.121607540377966,0.200820132569374,0.16121383647367,0.196703452848956,"allRun"
"33",0.055,0.976744186046512,0.215885947046843,0.784114052953157,0.0232558139534884,0.613138686131387,0.386861313868613,0.989717223650386,0.0102827763496144,0.119570880500166,0.198572045109114,0.15907146280464,0.192630133093355,"allRun"
"34",0.056,0.976744186046512,0.213849287169043,0.786150712830957,0.0232558139534884,0.615384615384615,0.384615384615385,0.98974358974359,0.0102564102564103,0.118552550561266,0.197435897435897,0.157994223998582,0.190593473215554,"allRun"
"35",0.057,0.976744186046512,0.209775967413442,0.790224032586558,0.0232558139534884,0.619926199261993,0.380073800738007,0.989795918367347,0.0102040816326531,0.116515890683465,0.19513894118533,0.155827415934398,0.186520153459954,"allRun"
"36",0.058,0.976744186046512,0.207739307535642,0.792260692464358,0.0232558139534884,0.622222222222222,0.377777777777778,0.989821882951654,0.0101781170483461,0.115497560744565,0.193977947413062,0.154737754078813,0.184483493582153,"allRun"
"37",0.059,0.976744186046512,0.205702647657841,0.794297352342159,0.0232558139534884,0.62453531598513,0.37546468401487,0.989847715736041,0.0101522842639594,0.114479230805665,0.192808484139415,0.15364385747254,0.182446833704353,"allRun"
"38",0.06,0.976744186046512,0.20162932790224,0.79837067209776,0.0232558139534884,0.629213483146067,0.370786516853933,0.98989898989899,0.0101010101010101,0.112442570927864,0.190443763477471,0.151443167202668,0.178373513948752,"allRun"
"39",0.062,0.976744186046512,0.19959266802444,0.80040733197556,0.0232558139534884,0.631578947368421,0.368421052631579,0.98992443324937,0.0100755667506297,0.111424240988964,0.189248309691104,0.150336275340034,0.176336854070951,"allRun"
"40",0.063,0.976744186046512,0.19755600814664,0.80244399185336,0.0232558139534884,0.633962264150943,0.366037735849057,0.989949748743719,0.0100502512562814,0.110405911050064,0.188043993552669,0.149224952301366,0.174300194193151,"allRun"
"41",0.067,0.976744186046512,0.193482688391039,0.806517311608961,0.0232558139534884,0.638783269961977,0.361216730038023,0.99,0.01,0.108369251172264,0.185608365019011,0.146988808095637,0.17022687443755,"allRun"
"42",0.07,0.976744186046512,0.191446028513238,0.808553971486762,0.0232558139534884,0.641221374045801,0.358778625954198,0.99002493765586,0.00997506234413965,0.107350921233363,0.184376844149169,0.145863882691266,0.16819021455975,"allRun"
"43",0.071,0.976744186046512,0.189409368635438,0.810590631364562,0.0232558139534884,0.64367816091954,0.35632183908046,0.990049751243781,0.00995024875621891,0.106332591294463,0.183136043918339,0.144734317606401,0.166153554681949,"allRun"
"44",0.074,0.976744186046512,0.187372708757637,0.812627291242363,0.0232558139534884,0.646153846153846,0.353846153846154,0.990074441687345,0.00992555831265509,0.105314261355563,0.181885856079404,0.143600058717484,0.164116894804149,"allRun"
"45",0.075,0.976744186046512,0.185336048879837,0.814663951120163,0.0232558139534884,0.648648648648649,0.351351351351351,0.99009900990099,0.0099009900990099,0.104295931416663,0.180626170725181,0.142461051070922,0.162080234926349,"allRun"
"46",0.077,0.976744186046512,0.183299389002037,0.816700610997963,0.0232558139534884,0.651162790697674,0.348837209302326,0.990123456790123,0.00987654320987654,0.103277601477763,0.179356876256101,0.141317238866932,0.160043575048548,"allRun"
"47",0.078,0.970930232558139,0.181262729124236,0.818737270875764,0.0290697674418605,0.65234375,0.34765625,0.987714987714988,0.0122850122850123,0.105166248283048,0.179970631142506,0.142568439712777,0.152192961682376,"allRun"
"48",0.081,0.970930232558139,0.179226069246436,0.820773930753564,0.0290697674418605,0.654901960784314,0.345098039215686,0.987745098039216,0.0122549019607843,0.104147918344148,0.178676470588235,0.141412194466192,0.150156301804575,"allRun"
"49",0.082,0.970930232558139,0.177189409368635,0.822810590631365,0.0290697674418605,0.65748031496063,0.34251968503937,0.987775061124694,0.0122249388753056,0.103129588405248,0.177372311957338,0.140250950181293,0.148119641926775,"allRun"
"50",0.083,0.970930232558139,0.175152749490835,0.824847250509165,0.0290697674418605,0.660079051383399,0.339920948616601,0.98780487804878,0.0121951219512195,0.102111258466348,0.17605803528391,0.139084646875129,0.146082982048975,"allRun"
"51",0.084,0.970930232558139,0.173116089613035,0.826883910386965,0.0290697674418605,0.662698412698413,0.337301587301587,0.987834549878346,0.0121654501216545,0.101092928527448,0.174733518711621,0.137913223619534,0.144046322171174,"allRun"
"52",0.086,0.970930232558139,0.171079429735234,0.828920570264766,0.0290697674418605,0.665338645418327,0.334661354581673,0.987864077669903,0.0121359223300971,0.100074598588547,0.173398638455885,0.136736618522216,0.142009662293374,"allRun"
"53",0.087,0.970930232558139,0.167006109979633,0.832993890020367,0.0290697674418605,0.670682730923695,0.329317269076305,0.98792270531401,0.0120772946859903,0.0980379387107469,0.170697281881148,0.134367610295947,0.137936342537773,"allRun"
"54",0.095,0.970930232558139,0.164969450101833,0.835030549898167,0.0290697674418605,0.673387096774194,0.326612903225806,0.987951807228916,0.0120481927710843,0.0970196087718467,0.169330547998445,0.133175078385146,0.135899682659972,"allRun"
"55",0.097,0.970930232558139,0.162932790224033,0.837067209775967,0.0290697674418605,0.676113360323887,0.323886639676113,0.987980769230769,0.0120192307692308,0.0960012788329465,0.167952935222672,0.131977107027809,0.133863022782172,"allRun"
"56",0.1,0.970930232558139,0.160896130346232,0.839103869653768,0.0290697674418605,0.678861788617886,0.321138211382114,0.988009592326139,0.0119904076738609,0.0949829488940463,0.166564309527987,0.130773629211017,0.131826362904372,"allRun"
"57",0.103,0.970930232558139,0.158859470468432,0.841140529531568,0.0290697674418605,0.681632653061224,0.318367346938775,0.988038277511962,0.0119617224880383,0.0939646189551461,0.165164534713407,0.129564576834276,0.129789703026571,"allRun"
"58",0.106,0.970930232558139,0.156822810590631,0.843177189409369,0.0290697674418605,0.684426229508197,0.315573770491803,0.988066825775656,0.0119331742243437,0.0929462890162459,0.163753472358073,0.12834988068716,0.127753043148771,"allRun"
"59",0.11,0.970930232558139,0.154786150712831,0.845213849287169,0.0290697674418605,0.687242798353909,0.312757201646091,0.988095238095238,0.0119047619047619,0.0919279590773457,0.162330981775426,0.127129470426386,0.12571638327097,"allRun"
"60",0.116,0.970930232558139,0.152749490835031,0.847250509164969,0.0290697674418605,0.690082644628099,0.309917355371901,0.98812351543943,0.0118764845605701,0.0909096291384455,0.160896919966235,0.12590327455234,0.12367972339317,"allRun"
"61",0.124,0.970930232558139,0.15071283095723,0.84928716904277,0.0290697674418605,0.692946058091286,0.307053941908714,0.988151658767773,0.0118483412322275,0.0898912991995453,0.159451141570471,0.124671220385008,0.12164306351537,"allRun"
"62",0.125,0.970930232558139,0.14867617107943,0.85132382892057,0.0290697674418605,0.695833333333333,0.304166666666667,0.988179669030733,0.0118203309692671,0.0888729692606451,0.157993498817967,0.123433234039306,0.119606403637569,"allRun"
"63",0.132,0.970930232558139,0.146639511201629,0.853360488798371,0.0290697674418605,0.698744769874477,0.301255230125523,0.988207547169811,0.0117924528301887,0.0878546393217449,0.156523841477856,0.1221892403998,0.117569743759769,"allRun"
"64",0.134,0.970930232558139,0.144602851323829,0.855397148676171,0.0290697674418605,0.701680672268908,0.298319327731092,0.988235294117647,0.0117647058823529,0.0868363093828447,0.155042016806723,0.120939163094784,0.115533083881968,"allRun"
"65",0.135,0.965116279069767,0.144602851323829,0.855397148676171,0.0348837209302326,0.70042194092827,0.29957805907173,0.985915492957746,0.0140845070422535,0.0897432861270307,0.156831283056992,0.123287284592011,0.109719130393596,"allRun"
"66",0.137,0.965116279069767,0.142566191446029,0.857433808553971,0.0348837209302326,0.703389830508475,0.296610169491525,0.985948477751756,0.0140515222482436,0.0887249561881305,0.155330845869884,0.122027901029008,0.107682470515796,"allRun"
"67",0.138,0.965116279069767,0.140529531568228,0.859470468431772,0.0348837209302326,0.706382978723404,0.293617021276596,0.985981308411215,0.014018691588785,0.0877066262492303,0.15381785643269,0.12076224134096,0.105645810637996,"allRun"
"68",0.139,0.965116279069767,0.138492871690428,0.861507128309572,0.0348837209302326,0.709401709401709,0.290598290598291,0.986013986013986,0.013986013986014,0.0866882963103301,0.152292152292152,0.119490224301241,0.103609150760195,"allRun"
"69",0.14,0.965116279069767,0.134419551934827,0.865580448065173,0.0348837209302326,0.71551724137931,0.28448275862069,0.986078886310905,0.0139211136890951,0.0846516364325297,0.149201936154892,0.116926786293711,0.0995358310045944,"allRun"
"70",0.153,0.965116279069767,0.132382892057026,0.867617107942974,0.0348837209302326,0.718614718614719,0.281385281385281,0.986111111111111,0.0138888888888889,0.0836333064936295,0.147637085137085,0.115635195815357,0.097499171126794,"allRun"
"71",0.156,0.965116279069767,0.130346232179226,0.869653767820774,0.0348837209302326,0.721739130434783,0.278260869565217,0.986143187066975,0.0138568129330254,0.0826149765547293,0.146058841249121,0.114336908901925,0.0954625112489935,"allRun"
"72",0.158,0.965116279069767,0.128309572301426,0.871690427698574,0.0348837209302326,0.724890829694323,0.275109170305677,0.986175115207373,0.0138248847926267,0.0815966466158291,0.144467027549152,0.11303183708249,0.0934258513711932,"allRun"
"73",0.179,0.965116279069767,0.126272912423625,0.873727087576375,0.0348837209302326,0.728070175438597,0.271929824561404,0.986206896551724,0.0137931034482759,0.0805783166769289,0.14286146400484,0.111719890340884,0.0913891914933928,"allRun"
