"","tpv","tpr","fpr","tnr","fnr","ppv","fdr","npv","fors","L.diag","L.pred","L.all","L.eq.diag","model"
"16",0.025,0.996354799513973,0.153790873158462,0.846209126841538,0.00364520048602673,0.657051282051282,0.342948717948718,0.998727735368957,0.00127226463104326,0.0787180368222444,0.172110491289881,0.125414264056063,0.150145672672435,"allRun"
"17",0.026,0.996354799513973,0.152353575278476,0.847646424721524,0.00364520048602673,0.659163987138264,0.340836012861736,0.998729889923793,0.0012701100762066,0.0779993878822516,0.171053061468971,0.124526224675612,0.14870837479245,"allRun"
"18",0.027,0.993924665856622,0.150556952928494,0.849443047071506,0.00607533414337789,0.66127728375101,0.338722716248989,0.997889404812157,0.00211059518784297,0.0783161435359362,0.170416655718416,0.124366399627176,0.144481618785117,"allRun"
"19",0.028,0.993924665856622,0.149478979518505,0.850521020481495,0.00607533414337789,0.662884927066451,0.337115072933549,0.997892074198988,0.0021079258010118,0.0777771568309416,0.169611499367281,0.123694328099111,0.143403645375127,"allRun"
"20",0.029,0.993924665856622,0.147682357168523,0.852317642831477,0.00607533414337789,0.665581773799837,0.334418226200163,0.997896508203618,0.00210349179638199,0.0768788456559505,0.168260858998272,0.122569852327111,0.141607023025145,"allRun"
"21",0.03,0.993924665856622,0.147323032698527,0.852676967301473,0.00607533414337789,0.666123778501629,0.333876221498371,0.997897392767031,0.00210260723296888,0.0766991834209523,0.16798941436567,0.122344298893311,0.141247698555149,"allRun"
"22",0.031,0.993924665856622,0.145526410348545,0.854473589651455,0.00607533414337789,0.668847097301717,0.331152902698283,0.997901804448175,0.00209819555182543,0.0758008722459613,0.166625549125054,0.121213210685508,0.139451076205167,"allRun"
"23",0.032,0.993924665856622,0.144807761408552,0.855192238591448,0.00607533414337789,0.66994266994267,0.33005733005733,0.9979035639413,0.00209643605870021,0.0754415477759649,0.166076883058015,0.12075921541699,0.138732427265174,"allRun"
"24",0.033,0.993924665856622,0.144089112468559,0.855910887531441,0.00607533414337789,0.67104183757178,0.32895816242822,0.997905320485966,0.00209467951403435,0.0750822233059685,0.165526420971127,0.120304322138548,0.138013778325181,"allRun"
"25",0.034,0.993924665856622,0.141933165648581,0.858066834351419,0.00607533414337789,0.674361088211047,0.325638911788953,0.997910572503134,0.00208942749686586,0.0740042498959793,0.163864169642909,0.118934209769444,0.135857831505203,"allRun"
